Middle East and North Africa,Egypt,Cereal,Online,C,11/24/2012,784457576,12/13/2012,7284,205.7,117.11,1498318.8,853029.24,645289.56
Sub-Saharan Africa,Guinea,Cosmetics,Online,H,6/25/2014,538055264,7/27/2014,1364,437.2,263.33,596340.8,359182.12,237158.68
Europe,Serbia,Household,Offline,M,11/4/2016,253818786,11/15/2016,9474,668.27,502.54,6331189.98,4761063.96,1570126.02
Sub-Saharan Africa,Mozambique,Meat,Online,C,4/19/2015,252109467,5/18/2015,3649,421.89,364.69,1539476.61,1330753.81,208722.8
Sub-Saharan Africa,Benin,Snacks,Online,H,1/3/2010,923601138,2/16/2010,2956,152.58,97.44,451026.48,288032.64,162993.84
Sub-Saharan Africa,Malawi,Meat,Offline,M,5/9/2017,479280126,6/9/2017,8495,421.89,364.69,3583955.55,3098041.55,485914
Europe,Latvia,Meat,Online,C,2/15/2013,800445258,4/6/2013,8394,421.89,364.69,3541344.66,3061207.86,480136.8
Europe,Switzerland,Personal Care,Online,H,1/17/2012,688707864,2/12/2012,2816,81.73,56.67,230151.68,159582.72,70568.96
Central America and the Caribbean,Dominican Republic,Personal Care,Offline,L,12/19/2010,815991771,1/11/2011,8953,81.73,56.67,731728.69,507366.51,224362.18
Australia and Oceania,Tuvalu,Baby Food,Online,L,5/18/2015,574533307,6/3/2015,6028,255.28,159.42,1538827.84,960983.76,577844.08
Europe,Monaco,Personal Care,Offline,L,11/25/2012,326881301,12/16/2012,296,81.73,56.67,24192.08,16774.32,7417.76
North America,United States of America,Personal Care,Online,L,12/13/2014,955897080,12/27/2014,43,81.73,56.67,3514.39,2436.81,1077.58
Europe,France,Household,Online,M,1/23/2015,714754474,2/5/2015,587,668.27,502.54,392274.49,294990.98,97283.51
Sub-Saharan Africa,Equatorial Guinea,Baby Food,Online,H,5/31/2015,176939809,7/17/2015,9276,255.28,159.42,2367977.28,1478779.92,889197.36
Asia,Bhutan,Beverages,Offline,L,6/17/2015,886251914,7/20/2015,491,47.45,31.79,23297.95,15608.89,7689.06
Europe,Georgia,Personal Care,Online,H,9/23/2015,406802117,9/24/2015,641,81.73,56.67,52388.93,36325.47,16063.46
Europe,Finland,Cosmetics,Online,M,1/4/2014,873014247,1/27/2014,3171,437.2,263.33,1386361.2,835019.43,551341.77
Europe,Netherlands,Personal Care,Online,L,10/1/2016,439624631,10/31/2016,3553,81.73,56.67,290386.69,201348.51,89038.18
Europe,Vatican City,Snacks,Offline,H,7/7/2012,931682097,8/19/2012,4292,152.58,97.44,654873.36,418212.48,236660.88
Europe,Cyprus,Snacks,Offline,C,8/30/2013,194547975,10/14/2013,9924,152.58,97.44,1514203.92,966994.56,547209.36
Australia and Oceania,Solomon Islands,Vegetables,Offline,C,9/5/2014,643896090,9/15/2014,2017,154.06,90.93,310739.02,183405.81,127333.21
North America,Canada,Baby Food,Online,C,2/10/2011,715712773,3/5/2011,4169,255.28,159.42,1064262.32,664621.98,399640.34
Europe,Italy,Personal Care,Online,L,12/8/2010,716296851,12/16/2010,7011,81.73,56.67,573009.03,397313.37,175695.66
Sub-Saharan Africa,Sierra Leone,Meat,Online,C,8/17/2015,572259652,8/19/2015,3203,421.89,364.69,1351313.67,1168102.07,183211.6
Sub-Saharan Africa,Botswana,Office Supplies,Offline,L,5/8/2016,280525004,6/9/2016,2438,651.21,524.96,1587649.98,1279852.48,307797.5
Europe,Kosovo,Personal Care,Offline,L,12/4/2012,358329236,1/7/2013,6439,81.73,56.67,526259.47,364898.13,161361.34
Asia,Bhutan,Vegetables,Online,C,1/4/2010,493221175,2/11/2010,3961,154.06,90.93,610231.66,360173.73,250057.93